@@@numDocs=3233@@@
a,510
abandoned,1
about,56
above,2
absolutely,3
access,2
accompanying,1
according,7
actionpretty,1
acts,1
actually,9
add,8
addicted,7
adding,2
admit,1
admitting,1
adopted,1
advanced,1
affair,1
after,25
again,10
agree,8
ahead,4
ahhfuckitsguss,1
air,2
aka,1
album,2
alexlindsay,1
all,76
almost,3
alone,2
along,4
alright,1
always,8
am,24
amazed,1
amazing,17
amazon,19
ammmylewis,1
amount,1
amp,1
an,86
and,352
android,404
androidbeam,3
angrybirds,1
announced,7
another,19
answers,1
antimicrosoft,1
any,32
anyday,1
anymore,5
apologize,1
app,65
appear,2
apple,728
applea,1
applegood,1
apples,9
apply,4
appreciated,2
apps,29
arc,1
architecture,2
are,74
argument,3
aris,1
arrived,1
arrives,1
as,57
ashercfo,1
aside,1
ass,12
assessment,1
assim,1
at,132
att,13
attempts,2
attending,1
automatically,2
av,1
available,30
avtar,2
awaited,1
away,8
awesome,16
awesomeness,1
awsome,1
b,13
babygeeks,2
back,33
backside,1
bad,12
bag,2
bahhh,1
ballmer,75
bar,8
battery,13
battle,5
be,97
beam,18
beating,4
beats,1
beautiful,2
became,1
because,13
bed,6
been,33
being,11
believe,3
bellevue,1
benefits,1
berry,1
best,37
bestpantsten,1
better,27
between,12
beyond,2
bigdealdawson,1
biggest,2
bigmama,2
billions,1
bing,20
bitch,6
bitching,2
bitlynejbye,8
bitlyqpgxle,1
biz,5
bkad,1
blackberry,16
blackberryits,1
blatant,1
blaze,2
blessed,1
blog,24
bloomberg,1
bloombergnews,1
blowing,2
blown,4
boo,2
bookcase,14
booked,1
bookmarks,3
books,5
boost,1
boot,1
booted,1
borders,1
bottom,3
bought,2
bound,1
brand,1
brandonminiman,1
bravo,1
break,1
briancrockerjr,1
brilliance,1
brilliant,3
brother,1
browse,1
buffalo,1
build,5
buildingwindows,2
buildwindows,3
builtin,1
bullying,4
bump,2
burkepatch,1
burn,3
bus,3
busy,1
but,75
butler,1
buy,15
by,69
cable,1
calendar,2
call,10
calling,10
camera,15
camper,1
can,73
canada,2
cant,33
capabilities,2
card,3
cardsapp,1
careers,3
carrier,1
carriers,6
carrying,1
carsonfratus,1
case,5
cc,12
centre,2
ceo,37
ceremoniously,2
champ,2
change,10
changed,2
changer,1
chao,1
characters,1
charge,3
cheap,3
check,22
china,1
chosen,1
chrome,11
citizenship,1
class,1
claws,1
clean,1
click,2
cloud,46
clouds,1
club,1
cnet,9
coast,1
combine,1
come,13
commands,1
commercial,1
community,4
companies,4
company,10
completes,1
computer,17
conference,1
connected,1
considering,2
contender,1
content,2
continuing,1
control,9
conversations,1
converting,1
cool,19
corporate,2
correct,1
could,21
courtesy,1
covent,1
crack,2
cracked,1
craving,1
crazy,4
cream,129
create,5
creative,1
cropping,1
curate,1
current,2
currently,1
customer,11
customers,6
d,46
dailydealchat,1
dammit,3
damn,12
danielpink,1
dark,6
data,19
day,22
days,23
deal,9
deals,1
dear,21
debt,1
decent,1
decide,2
delay,1
delicious,1
delivering,1
derryxowners,1
design,14
desire,1
desired,1
detailed,1
details,9
dev,3
developer,10
device,9
devices,18
dhilipsiva,33
did,20
didnt,17
died,1
difficult,2
digital,12
direct,2
dishing,1
disruptions,1
ditch,1
do,95
docs,7
does,19
doing,8
dollar,1
done,20
dont,52
door,3
dostupan,2
dotnet,1
doubt,1
down,19
downloaded,1
downloads,2
drakes,1
drewbezanson,1
drying,1
dubbe,1
due,6
duet,1
during,9
dying,2
dynamics,12
earth,5
easter,3
easy,4
eating,1
eboyee,1
ed,1
edbott,1
edchat,1
edge,2
education,1
