"Sentiment","TweetText"
"negative","I feel all alone on #twitter. #itstolate"
"positive","@jessecablek I want it too. Now just wondering who will be carrying it in November. Or direct purchase from #google / #samsung"
"neutral","Why didn't @Apple merge the address and search bars in Safari ala Crome in iOS 5? #simplethings"
"positive","Gotta love #Twitter - shit goes round the World like lightning-on-speed..."
"neutral","#Twitter it's been a pleasure but I have to go exercise and eat dinner! Possibly be back b4 I sleep? We'll c! I am #BLESSED & we all are! =)"
"positive","Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s"
"irrelevant","RT @wireditalia: #Twitter 250milioni di cinguettii al giorno e un valore di 8miliardi di $. Tempi duri per #Facebook e #Google+? http:// ..."
"neutral","Video: SIRI also gets angry. http://t.co/Ku288WX6  @chrisvoss @apple #apple #siri #iphone4S #Ai"
"neutral","@Apple Not Likely to Win Appstore Suit Case Against @Amazon http://t.co/GNcDGQsc"
"positive","Register now for your Galaxy Nexus :) http://t.co/37WkIoXC #Android #Google"
"neutral","On Google+ then go here http://t.co/SxmLkaRR #GPlus #Googleplus #Google #teamfollowback #socialnetwork"
"negative","When #Microsoft violated U.S. antitrust laws—leaving #Netscape out of business & #Novell wounded—it played dumb. http://t.co/0WHHmAK4"
"negative",". if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed"
"neutral","http://t.co/Pl4ZeEvH - Android 4.0 SDK now available #google #android http://t.co/sVlrVxTR"
"neutral","#Job #ICT System Engineer (m/w): planova human capital ag  Luzern http://t.co/2PJo4Dqr #Microsoft #IT"
"neutral","Everything Can Be A Digital ... http://t.co/fG0wfyWl #microsoft #carnegiemellon"
"neutral","@OccupyWallSt #Apple stock DOWN despite #iPhone monumental SALES = #ocuupy #GOOGLE & #Verizon--i smell a #conspiracy!"
"neutral","New Galaxy Nexus: App Improvements -  New People App to improve contact information #nexus #samsung #google #android bit.ly/nEJbyE"
"irrelevant","Estava ali na #MICROSOFT tomando um cafezinho :D"
"neutral","Check out our newly revamped Testimonials page for more information on how #Microsoft #Dynamics #CRM can work for you!  http://t.co/hmT51bdf"
"irrelevant","malisimo el intento de google maps de #microsoft"
"neutral","Goodnight everyone #twitter off"
"positive","This Data Usage feature looks amazing on ICS. #android #samsung #google #GALAXYNexus"
"neutral","#Google search to have default encryption http://t.co/rwgKPbGu"
"neutral","Watching this week's episode of Hawaii Five-O. Great use of Windows Phone 7 & SkyDrive. Oh yeah a Dell Inspiron Duo was there too #microsoft"
"irrelevant","AsiaClassifiedToday: Point Park summit reflects Asian culture - The Globe: Point Park summit ... http://t.co/fBdw211P #asia #google #ads"
"negative","Hey @apple  the SMS full message is complete shit. Yes  I'm annoyed."
"irrelevant","Visualiza tus emails  menciones en #twitter  eventos de #facebook y más  desde Centro de notificaciones de #IOS 5 http://t.co/BsFmwKFH"
"irrelevant","- La vida es Corta por lo Tanto: Besa Poco a Poco  Rie Locamente  Ama de Verdad y Perdona Rapidamente! - ..
"neutral","Follow me and I follow you!! @iOS5 @fansoflilwayne @follow @apple"
"irrelevant","Vers 1e +grde accessibilité o dernier outil #IT. C la new orientation stratégique ke prend #Microsoft #Maroc http://t.co/C864evTj 
"irrelevant","Ganun? Di ba kasama ang wit? lol RT @RobyQQ Your #Twitter followers either like you for your sense of humor or sex appeal."
