Kernel: PolyKernel, exponent: 1,000000, result: 0,731249
Kernel: PolyKernel, exponent: 1,020000, result: 0,734562
Kernel: PolyKernel, exponent: 1,040000, result: 0,731819
Kernel: PolyKernel, exponent: 1,060000, result: 0,735584
Kernel: PolyKernel, exponent: 1,080000, result: 0,730445
Kernel: PolyKernel, exponent: 1,100000, result: 0,733664
Kernel: PolyKernel, exponent: 1,120000, result: 0,733004
Kernel: PolyKernel, exponent: 1,140000, result: 0,734960
Kernel: PolyKernel, exponent: 1,160000, result: 0,731967
Kernel: PolyKernel, exponent: 1,180000, result: 0,728874
Kernel: PolyKernel, exponent: 1,200000, result: 0,726519
Kernel: PolyKernel, exponent: 1,220000, result: 0,728813
Kernel: PolyKernel, exponent: 1,240000, result: 0,724147
Kernel: PolyKernel, exponent: 1,260000, result: 0,722368
Kernel: PolyKernel, exponent: 1,280000, result: 0,723320
Kernel: PolyKernel, exponent: 1,300000, result: 0,726300
Kernel: PolyKernel, exponent: 1,320000, result: 0,729691
Kernel: PolyKernel, exponent: 1,340000, result: 0,733858
Kernel: PolyKernel, exponent: 1,360000, result: 0,732692
Kernel: PolyKernel, exponent: 1,380000, result: 0,731642
Kernel: PolyKernel, exponent: 1,400000, result: 0,731592
Kernel: PolyKernel, exponent: 1,420000, result: 0,730306
Kernel: PolyKernel, exponent: 1,440000, result: 0,730306
Kernel: PolyKernel, exponent: 1,460000, result: 0,727701
Kernel: PolyKernel, exponent: 1,480000, result: 0,719327
Kernel: PolyKernel, exponent: 1,500000, result: 0,720234
Kernel: PolyKernel, exponent: 1,520000, result: 0,721324
Kernel: PolyKernel, exponent: 1,540000, result: 0,721324
Kernel: PolyKernel, exponent: 1,560000, result: 0,721660
Kernel: PolyKernel, exponent: 1,580000, result: 0,719085
Kernel: PolyKernel, exponent: 1,600000, result: 0,717026
Kernel: PolyKernel, exponent: 1,620000, result: 0,714660
Kernel: PolyKernel, exponent: 1,640000, result: 0,715556
Kernel: PolyKernel, exponent: 1,660000, result: 0,718691
Kernel: PolyKernel, exponent: 1,680000, result: 0,718691
Kernel: PolyKernel, exponent: 1,700000, result: 0,718669
Kernel: PolyKernel, exponent: 1,720000, result: 0,718669
Kernel: PolyKernel, exponent: 1,740000, result: 0,719556
Kernel: PolyKernel, exponent: 1,760000, result: 0,720529
Kernel: PolyKernel, exponent: 1,780000, result: 0,719042
Best kernel: PolyKernel, best exponent: 1,060000, achieved weighted f-measure: 0,735584
