==== Linear Regression Iragarpenak ====
Instantzia 1: Iragarpena = neutral 
Instantzia 2: Iragarpena = irrelevant 
Instantzia 3: Iragarpena = neutral 
Instantzia 4: Iragarpena = irrelevant 
Instantzia 5: Iragarpena = irrelevant 
Instantzia 6: Iragarpena = negative 
Instantzia 7: Iragarpena = irrelevant 
Instantzia 8: Iragarpena = neutral 
Instantzia 9: Iragarpena = irrelevant 
Instantzia 10: Iragarpena = neutral 
Instantzia 11: Iragarpena = irrelevant 
Instantzia 12: Iragarpena = positive 
Instantzia 13: Iragarpena = irrelevant 
Instantzia 14: Iragarpena = neutral 
Instantzia 15: Iragarpena = neutral 
Instantzia 16: Iragarpena = negative 
Instantzia 17: Iragarpena = neutral 
Instantzia 18: Iragarpena = neutral 
Instantzia 19: Iragarpena = neutral 
Instantzia 20: Iragarpena = irrelevant 
Instantzia 21: Iragarpena = neutral 
Instantzia 22: Iragarpena = irrelevant 
Instantzia 23: Iragarpena = negative 
Instantzia 24: Iragarpena = neutral 
Instantzia 25: Iragarpena = neutral 
Instantzia 26: Iragarpena = irrelevant 
Instantzia 27: Iragarpena = irrelevant 
Instantzia 28: Iragarpena = irrelevant 
Instantzia 29: Iragarpena = negative 
Instantzia 30: Iragarpena = irrelevant 
Instantzia 31: Iragarpena = neutral 
Instantzia 32: Iragarpena = neutral 
Instantzia 33: Iragarpena = irrelevant 
Instantzia 34: Iragarpena = neutral 
Instantzia 35: Iragarpena = negative 
Instantzia 36: Iragarpena = neutral 
Instantzia 37: Iragarpena = neutral 
Instantzia 38: Iragarpena = irrelevant 
Instantzia 39: Iragarpena = irrelevant 
Instantzia 40: Iragarpena = irrelevant 
Instantzia 41: Iragarpena = irrelevant 
Instantzia 42: Iragarpena = irrelevant 
Instantzia 43: Iragarpena = neutral 
Instantzia 44: Iragarpena = neutral 
Instantzia 45: Iragarpena = positive 
Instantzia 46: Iragarpena = neutral 
Instantzia 47: Iragarpena = neutral 
Instantzia 48: Iragarpena = negative 
Instantzia 49: Iragarpena = negative 
Instantzia 50: Iragarpena = positive 
Instantzia 51: Iragarpena = irrelevant 
Instantzia 52: Iragarpena = neutral 
Instantzia 53: Iragarpena = negative 
Instantzia 54: Iragarpena = irrelevant 
Instantzia 55: Iragarpena = irrelevant 
Instantzia 56: Iragarpena = neutral 
Instantzia 57: Iragarpena = irrelevant 
Instantzia 58: Iragarpena = irrelevant 
Instantzia 59: Iragarpena = positive 
Instantzia 60: Iragarpena = irrelevant 
Instantzia 61: Iragarpena = irrelevant 
Instantzia 62: Iragarpena = irrelevant 
Instantzia 63: Iragarpena = irrelevant 
Instantzia 64: Iragarpena = neutral 
Instantzia 65: Iragarpena = neutral 
Instantzia 66: Iragarpena = neutral 
Instantzia 67: Iragarpena = neutral 
Instantzia 68: Iragarpena = neutral 
Instantzia 69: Iragarpena = irrelevant 
Instantzia 70: Iragarpena = neutral 
Instantzia 71: Iragarpena = irrelevant 
Instantzia 72: Iragarpena = neutral 
Instantzia 73: Iragarpena = irrelevant 
Instantzia 74: Iragarpena = irrelevant 
Instantzia 75: Iragarpena = irrelevant 
Instantzia 76: Iragarpena = neutral 
Instantzia 77: Iragarpena = irrelevant 
Instantzia 78: Iragarpena = neutral 
Instantzia 79: Iragarpena = irrelevant 
Instantzia 80: Iragarpena = neutral 
Instantzia 81: Iragarpena = irrelevant 
Instantzia 82: Iragarpena = irrelevant 
Instantzia 83: Iragarpena = negative 
Instantzia 84: Iragarpena = irrelevant 
Instantzia 85: Iragarpena = irrelevant 
Instantzia 86: Iragarpena = neutral 
Instantzia 87: Iragarpena = irrelevant 
Instantzia 88: Iragarpena = neutral 
Instantzia 89: Iragarpena = irrelevant 
Instantzia 90: Iragarpena = neutral 
Instantzia 91: Iragarpena = neutral 
Instantzia 92: Iragarpena = irrelevant 
Instantzia 93: Iragarpena = neutral 
Instantzia 94: Iragarpena = neutral 
Instantzia 95: Iragarpena = negative 
Instantzia 96: Iragarpena = neutral 
Instantzia 97: Iragarpena = irrelevant 
Instantzia 98: Iragarpena = neutral 
Instantzia 99: Iragarpena = neutral 
Instantzia 100: Iragarpena = neutral 
Instantzia 101: Iragarpena = irrelevant 
Instantzia 102: Iragarpena = irrelevant 
Instantzia 103: Iragarpena = irrelevant 
Instantzia 104: Iragarpena = irrelevant 
Instantzia 105: Iragarpena = neutral 
Instantzia 106: Iragarpena = negative 
Instantzia 107: Iragarpena = irrelevant 
Instantzia 108: Iragarpena = irrelevant 
Instantzia 109: Iragarpena = neutral 
Instantzia 110: Iragarpena = neutral 
Instantzia 111: Iragarpena = neutral 
Instantzia 112: Iragarpena = irrelevant 
Instantzia 113: Iragarpena = negative 
