==== Linear Regression Iragarpenak ====
Instantzia 1: Iragarpena = irrelevant 
Instantzia 2: Iragarpena = neutral 
Instantzia 3: Iragarpena = irrelevant 
Instantzia 4: Iragarpena = irrelevant 
Instantzia 5: Iragarpena = irrelevant 
Instantzia 6: Iragarpena = neutral 
Instantzia 7: Iragarpena = irrelevant 
Instantzia 8: Iragarpena = neutral 
Instantzia 9: Iragarpena = neutral 
Instantzia 10: Iragarpena = neutral 
Instantzia 11: Iragarpena = irrelevant 
Instantzia 12: Iragarpena = negative 
Instantzia 13: Iragarpena = irrelevant 
Instantzia 14: Iragarpena = neutral 
Instantzia 15: Iragarpena = irrelevant 
Instantzia 16: Iragarpena = irrelevant 
Instantzia 17: Iragarpena = neutral 
Instantzia 18: Iragarpena = neutral 
Instantzia 19: Iragarpena = negative 
Instantzia 20: Iragarpena = irrelevant 
Instantzia 21: Iragarpena = neutral 
Instantzia 22: Iragarpena = irrelevant 
Instantzia 23: Iragarpena = neutral 
Instantzia 24: Iragarpena = irrelevant 
Instantzia 25: Iragarpena = neutral 
Instantzia 26: Iragarpena = neutral 
Instantzia 27: Iragarpena = positive 
Instantzia 28: Iragarpena = neutral 
Instantzia 29: Iragarpena = irrelevant 
Instantzia 30: Iragarpena = neutral 
Instantzia 31: Iragarpena = irrelevant 
Instantzia 32: Iragarpena = neutral 
Instantzia 33: Iragarpena = irrelevant 
Instantzia 34: Iragarpena = positive 
Instantzia 35: Iragarpena = neutral 
Instantzia 36: Iragarpena = irrelevant 
Instantzia 37: Iragarpena = neutral 
Instantzia 38: Iragarpena = irrelevant 
Instantzia 39: Iragarpena = positive 
Instantzia 40: Iragarpena = neutral 
Instantzia 41: Iragarpena = irrelevant 
Instantzia 42: Iragarpena = neutral 
Instantzia 43: Iragarpena = neutral 
Instantzia 44: Iragarpena = irrelevant 
Instantzia 45: Iragarpena = irrelevant 
Instantzia 46: Iragarpena = irrelevant 
Instantzia 47: Iragarpena = neutral 
Instantzia 48: Iragarpena = irrelevant 
