Kernel: PolyKernel, exponent: 0,500000, result: 0,587120
Kernel: PolyKernel, exponent: 0,510000, result: 0,582415
Kernel: PolyKernel, exponent: 0,520000, result: 0,580049
Kernel: PolyKernel, exponent: 0,530000, result: 0,591590
Kernel: PolyKernel, exponent: 0,540000, result: 0,583086
Kernel: PolyKernel, exponent: 0,550000, result: 0,586256
Kernel: PolyKernel, exponent: 0,560000, result: 0,588937
Kernel: PolyKernel, exponent: 0,570000, result: 0,588147
Kernel: PolyKernel, exponent: 0,580000, result: 0,590462
Kernel: PolyKernel, exponent: 0,590000, result: 0,594906
Kernel: PolyKernel, exponent: 0,600000, result: 0,603676
Kernel: PolyKernel, exponent: 0,610000, result: 0,592705
Kernel: PolyKernel, exponent: 0,620000, result: 0,594445
Kernel: PolyKernel, exponent: 0,630000, result: 0,596986
Kernel: PolyKernel, exponent: 0,640000, result: 0,594442
Kernel: PolyKernel, exponent: 0,650000, result: 0,592407
Kernel: PolyKernel, exponent: 0,660000, result: 0,591598
Kernel: PolyKernel, exponent: 0,670000, result: 0,591797
Kernel: PolyKernel, exponent: 0,680000, result: 0,598234
Kernel: PolyKernel, exponent: 0,690000, result: 0,590764
Kernel: PolyKernel, exponent: 0,700000, result: 0,595226
Kernel: PolyKernel, exponent: 0,710000, result: 0,607024
Kernel: PolyKernel, exponent: 0,720000, result: 0,604126
Kernel: PolyKernel, exponent: 0,730000, result: 0,600070
Kernel: PolyKernel, exponent: 0,740000, result: 0,604812
Kernel: PolyKernel, exponent: 0,750000, result: 0,614368
Kernel: PolyKernel, exponent: 0,760000, result: 0,611404
Kernel: PolyKernel, exponent: 0,770000, result: 0,622914
Kernel: PolyKernel, exponent: 0,780000, result: 0,613666
Kernel: PolyKernel, exponent: 0,790000, result: 0,608805
Kernel: PolyKernel, exponent: 0,800000, result: 0,625345
Kernel: PolyKernel, exponent: 0,810000, result: 0,618119
Kernel: PolyKernel, exponent: 0,820000, result: 0,603854
Kernel: PolyKernel, exponent: 0,830000, result: 0,616549
Kernel: PolyKernel, exponent: 0,840000, result: 0,618197
Kernel: PolyKernel, exponent: 0,850000, result: 0,624647
Kernel: PolyKernel, exponent: 0,860000, result: 0,627581
Kernel: PolyKernel, exponent: 0,870000, result: 0,630592
Kernel: PolyKernel, exponent: 0,880000, result: 0,635496
Kernel: PolyKernel, exponent: 0,890000, result: 0,631744
Kernel: PolyKernel, exponent: 0,900000, result: 0,637651
Kernel: PolyKernel, exponent: 0,910000, result: 0,640193
Kernel: PolyKernel, exponent: 0,920000, result: 0,638758
Kernel: PolyKernel, exponent: 0,930000, result: 0,641432
Kernel: PolyKernel, exponent: 0,940000, result: 0,660458
Kernel: PolyKernel, exponent: 0,950000, result: 0,662067
Kernel: PolyKernel, exponent: 0,960000, result: 0,672565
Kernel: PolyKernel, exponent: 0,970000, result: 0,681038
Kernel: PolyKernel, exponent: 0,980000, result: 0,678292
Kernel: PolyKernel, exponent: 0,990000, result: 0,679249
Kernel: PolyKernel, exponent: 1,000000, result: 0,678559
Kernel: PolyKernel, exponent: 1,010000, result: 0,677792
Kernel: PolyKernel, exponent: 1,020000, result: 0,676266
Kernel: PolyKernel, exponent: 1,030000, result: 0,676141
Kernel: PolyKernel, exponent: 1,040000, result: 0,677599
Kernel: PolyKernel, exponent: 1,050000, result: 0,676665
Kernel: PolyKernel, exponent: 1,060000, result: 0,673183
Kernel: PolyKernel, exponent: 1,070000, result: 0,672614
Kernel: PolyKernel, exponent: 1,080000, result: 0,665496
Kernel: PolyKernel, exponent: 1,090000, result: 0,665856
Kernel: PolyKernel, exponent: 1,100000, result: 0,668520
Kernel: PolyKernel, exponent: 1,110000, result: 0,667621
Kernel: PolyKernel, exponent: 1,120000, result: 0,666905
Kernel: PolyKernel, exponent: 1,130000, result: 0,664936
Kernel: PolyKernel, exponent: 1,140000, result: 0,665963
Kernel: PolyKernel, exponent: 1,150000, result: 0,660257
Kernel: PolyKernel, exponent: 1,160000, result: 0,657751
Kernel: PolyKernel, exponent: 1,170000, result: 0,656724
Kernel: PolyKernel, exponent: 1,180000, result: 0,656724
Kernel: PolyKernel, exponent: 1,190000, result: 0,656522
Kernel: PolyKernel, exponent: 1,200000, result: 0,657429
Kernel: PolyKernel, exponent: 1,210000, result: 0,658353
Kernel: PolyKernel, exponent: 1,220000, result: 0,658257
Kernel: PolyKernel, exponent: 1,230000, result: 0,658257
Kernel: PolyKernel, exponent: 1,240000, result: 0,653360
Kernel: PolyKernel, exponent: 1,250000, result: 0,652217
Kernel: PolyKernel, exponent: 1,260000, result: 0,650252
Kernel: PolyKernel, exponent: 1,270000, result: 0,648612
Kernel: PolyKernel, exponent: 1,280000, result: 0,648593
Kernel: PolyKernel, exponent: 1,290000, result: 0,651067
Kernel: PolyKernel, exponent: 1,300000, result: 0,648469
Kernel: PolyKernel, exponent: 1,310000, result: 0,650887
Kernel: PolyKernel, exponent: 1,320000, result: 0,649314
Kernel: PolyKernel, exponent: 1,330000, result: 0,649314
Kernel: PolyKernel, exponent: 1,340000, result: 0,651803
Kernel: PolyKernel, exponent: 1,350000, result: 0,648020
Kernel: PolyKernel, exponent: 1,360000, result: 0,645896
Kernel: PolyKernel, exponent: 1,370000, result: 0,646825
Kernel: PolyKernel, exponent: 1,380000, result: 0,646909
Kernel: PolyKernel, exponent: 1,390000, result: 0,646909
Kernel: PolyKernel, exponent: 1,400000, result: 0,645892
Kernel: PolyKernel, exponent: 1,410000, result: 0,645886
Kernel: PolyKernel, exponent: 1,420000, result: 0,643943
Kernel: PolyKernel, exponent: 1,430000, result: 0,641345
Kernel: PolyKernel, exponent: 1,440000, result: 0,639666
Kernel: PolyKernel, exponent: 1,450000, result: 0,638561
Kernel: PolyKernel, exponent: 1,460000, result: 0,638561
Kernel: PolyKernel, exponent: 1,470000, result: 0,638561
Kernel: PolyKernel, exponent: 1,480000, result: 0,638470
Kernel: PolyKernel, exponent: 1,490000, result: 0,638377
Kernel: NormalizedPolyKernel, exponent: 0,500000, result: 0,580935
Kernel: NormalizedPolyKernel, exponent: 0,510000, result: 0,578987
Kernel: NormalizedPolyKernel, exponent: 0,520000, result: 0,578556
Kernel: NormalizedPolyKernel, exponent: 0,530000, result: 0,585163
Kernel: NormalizedPolyKernel, exponent: 0,540000, result: 0,588670
Kernel: NormalizedPolyKernel, exponent: 0,550000, result: 0,586918
Kernel: NormalizedPolyKernel, exponent: 0,560000, result: 0,595917
Kernel: NormalizedPolyKernel, exponent: 0,570000, result: 0,600496
Kernel: NormalizedPolyKernel, exponent: 0,580000, result: 0,591995
Kernel: NormalizedPolyKernel, exponent: 0,590000, result: 0,609632
Kernel: NormalizedPolyKernel, exponent: 0,600000, result: 0,599566
